City ID,City,Latitude,Longitude,Max temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph),Country,Date
0,Albany,42.6,-73.97,59.0,94,0,8.97,US,1601521684
1,Marzuq,14.4,46.47,72.5,41,0,3.58,YE,1601522201
2,Pevek,69.7,170.31,37.09,80,0,7.18,RU,1601521881
3,Rawson,-43.3,-65.1,51.58,44,11,24.36,AR,1601522033
4,Rikitea,-23.12,-134.97,72.28,82,85,24.7,PF,1601521864
5,Karratha,-20.74,116.85,91.56,16,19,9.46,AU,1601521991
6,Batagay-Alyta,67.8,130.41,31.8,79,54,4.36,RU,1601522202
7,Monte Alegre,-2.01,-54.07,79.95,66,33,7.67,BR,1601522203
8,Bambous Virieux,-20.34,57.76,73.0,93,75,4.7,MU,1601521947
9,Airai,-8.93,125.41,79.39,43,45,7.78,TL,1601521919
10,Ligayan,4.65,119.47,84.25,69,26,5.39,PH,1601521961
11,Puerto Ayora,-0.74,-90.35,66.99,89,95,5.99,EC,1601521911
12,Whitecourt,54.15,-115.69,50.0,46,20,10.29,CA,1601522203
13,Carupano,10.67,-63.26,79.34,84,100,4.03,VE,1601522204
14,Kapaa,22.08,-159.32,84.2,66,40,5.82,US,1601521875
15,Punta Arenas,-53.15,-70.92,32.0,89,20,18.34,CL,1601521874
16,Mahébourg,-20.41,57.7,66.2,93,75,4.7,MU,1601521883
17,Ushuaia,-54.8,-68.3,30.2,86,90,27.51,AR,1601521865
18,Manokwari,-0.87,134.08,84.16,68,98,4.21,ID,1601522113
19,Caravelas,-17.71,-39.25,72.55,89,0,5.53,BR,1601521962
20,Vaini,-21.2,-175.2,77.0,88,40,13.87,TO,1601521907
21,Pangody,65.85,74.49,42.46,96,99,4.18,RU,1601521926
22,Wellington,-41.29,174.78,59.0,51,0,14.99,NZ,1601522014
23,Mataram,-8.58,116.12,89.6,52,40,16.11,ID,1601522060
24,Barrow,71.29,-156.79,32.0,94,90,24.16,US,1601521898
25,Okhotsk,59.38,143.3,54.77,52,0,7.56,RU,1601521963
26,Mayo,38.89,-76.51,64.0,72,1,5.82,US,1601521957
27,Taoudenni,22.68,-3.98,91.63,11,0,5.84,ML,1601522207
28,Avarua,-21.21,-159.78,78.8,88,21,11.41,CK,1601521888
29,Kuching,1.55,110.33,87.8,74,40,3.36,MY,1601521955
30,Tasiilaq,65.61,-37.64,35.6,51,97,5.82,GL,1601521910
31,Mar del Plata,-38.0,-57.56,55.0,87,91,3.36,AR,1601521954
32,Ilulissat,69.22,-51.1,19.4,62,0,8.05,GL,1601521888
33,Nuuk,64.18,-51.72,30.2,50,1,12.75,GL,1601522209
34,Hilo,19.73,-155.09,84.2,70,40,8.05,US,1601521753
35,Aksarka,66.56,67.8,42.66,88,17,10.16,RU,1601522210
36,Port Elizabeth,-33.92,25.57,55.4,87,90,3.36,ZA,1601521991
37,Atuona,-9.8,-139.03,78.39,77,1,21.79,PF,1601521901
38,Busselton,-33.65,115.33,62.01,73,100,11.99,AU,1601521881
39,Taywarah,33.35,64.42,41.74,52,0,0.92,AF,1601522211
40,Hobart,-42.88,147.33,60.01,41,40,17.22,AU,1601521777
41,Solnechnyy,50.72,136.63,56.08,55,0,3.83,RU,1601522211
42,Letterkenny,54.95,-7.73,41.14,88,0,4.14,IE,1601522212
43,Tautira,-17.73,-149.15,84.2,62,20,6.93,PF,1601522212
44,Daru,-9.08,143.21,79.43,76,100,15.3,PG,1601522213
45,Provideniya,64.38,-173.3,44.6,73,1,11.18,RU,1601521870
46,Fatsa,41.03,37.5,68.0,82,75,4.7,TR,1601522213
47,Qaanaaq,77.48,-69.36,11.19,77,0,7.27,GL,1601521890
48,Balkhash,46.84,74.98,37.4,51,20,20.13,KZ,1601522213
49,Kaitangata,-46.28,169.85,54.0,60,98,11.01,NZ,1601521935
